##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	132	200	1.52				1	565	1	7	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		141.418	173.678	194.971	195.089	169.576	162.79	177.419							
		26.9402	26.7612	26.9184	26.8702	26.9058	26.9472	26.889							
		163.289	193.032	208.408	201.977	188.266	182.952	194.758							
		27.0904	26.943	27.0684	27.0206	27.056	27.0976	27.0488							
		116.914	186.025	191.253	149.936	181.436	121.178	182.535							
		27.2416	27.1016	27.2198	27.1806	27.2072	27.2576	27.1994							
		137.31	154.401	187.217	188.114	173.246	176.79	203.202							
		27.4006	27.2516	27.379	27.3308	27.3662	27.4176	27.3594							
		177.503	177.159	184.753	184.767	193.726	190.552	194.342							
		27.5994	27.4022	27.599	27.4812	27.5164	27.5692	27.5702							
		183.458	177.65	164.491	182.195	158.418	149.327	170.373							
		
	37.06	27.9322	27.7922	27.9202	27.8514	28.0048	27.9388	27.9096							
		180.79	199.636	194.16	210.237	200.729	186.777	188.581							
		28.1016	28.0026	28.0894	28.0116	28.1572	28.0884	28.0598							
		167.94	200.479	191.215	193.221	189.529	175.558	179.582							
		28.2618	28.1526	28.2398	28.1734	28.3172	28.2484	28.2102							
		142.834	176.798	194.334	195.927	171.087	163.624	175.745							
		28.4116	28.303	28.3998	28.322	28.4674	28.4006	28.3712							
		165.916	192.6	204.281	200.444	186.846	183.005	195.171							
		28.562	28.4632	28.55	28.4822	28.6188	28.559	28.5204							
		119.03	186.682	190.266	149.127	180.517	121	179.766							
		28.7332	28.623	28.7304	28.642	28.7776	28.7188	28.7008							
		137.557	155.012	184.94	187.529	171.828	179.887	201.725							
		28.8822	28.7734	28.8902	28.8342	28.958	28.869	28.8606							
		178.352	178.902	181.73	185.681	194.563	188.672	195.415							
		29.0324	28.9882	29.0408	28.9926	29.1082	29.0694	29.0108							
		186.195	175.574	166.11	181.992	157.865	148.311	171.288							
		
	37.06	29.4438	29.314	29.4308	29.373	29.4402	29.4398	29.4212							
		182.499	202.115	193.402	210.961	199.602	188.317	185.093							
		29.613	29.474	29.5812	29.5346	29.5986	29.6	29.5716							
		167.2	198.822	190.008	192.087	189.406	173.037	180.584							
		29.803	29.6252	29.7912	29.6832	29.7586	29.7716	29.7716							
		139.996	175.792	195.507	197.269	170.702	162.845	176.343							
		29.9534	29.7946	29.9426	29.8936	29.9088	29.9204	29.9218							
		161.957	195.417	206.599	201.281	187.806	185.56	195.184							
		30.1136	29.9544	30.1026	30.0544	30.1	30.1312	30.073							
		116.953	187.32	190.5	148.258	181.691	121.166	177.327							
		30.2648	30.1258	30.2616	30.2038	30.2592	30.2804	30.232							
		138.918	154.33	185.456	189.032	174.884	178.308	201.189							
		30.414	30.286	30.4118	30.364	30.4096	30.4326	30.3822							
		176.647	177.286	185.85	185.191	192.209	191.618	194.225							
		30.574	30.4448	30.5622	30.524	30.5696	30.5908	30.5338							
		185.065	174.954	163.805	183.666	157.329	147.979	171.638							
		
	37.04	30.9862	30.8354	30.9526	30.9844	30.9502	30.9614	30.943							
		179.793	200.192	194.861	211.574	202.269	188.005	187.291							
		31.1444	30.9864	31.1128	31.135	31.16	31.1914	31.1032							
		169.135	200.078	189.666	193.026	190.106	174.285	179.463							
		31.2944	31.1858	31.2626	31.295	31.3102	31.3418	31.264							
		143.525	174.498	195.653	196.553	171.603	163.99	176.669							
		31.445	31.3458	31.414	31.4548	31.4616	31.5018	31.4336							
		162.601	190.049	210.446	201.981	188.917	185.687	192.775							
		31.606	31.496	31.5732	31.6062	31.6204	31.6518	31.5936							
		115.528	188.774	189.636	149.992	180.157	122.948	179.983							
