##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		1.414	1.835	1.882	2.119	2.336	2.748	2.138	2.034	1.874	1.856				
		16.9036	17.0178	16.921	16.8336	16.8614	16.8492	16.8196	16.7824	16.958	16.8796				
		2.283	2.742	2.786	2.925	3.751	4.47	4.057	3.858	4.211	4.314				
		
	37.06	17.1996	17.3002	17.2314	17.2144	17.2214	17.21	17.2804	17.2528	17.2388	17.2516				
		1497.089	1674.869	1585.58	1572.427	1603.838	1591.701	1658.341	1659.475	1606.875	1498.144				
		17.3692	17.4586	17.3914	17.3648	17.3814	17.37	17.45	17.4032	17.4004	17.41				
		1439.38	1698.003	1610.375	1687.993	1697.615	1679.134	1704.536	1726.938	1674.103	1520.197				
		17.5284	17.6082	17.5426	17.5152	17.5318	17.5996	17.5996	17.5536	17.5484	17.5604				
		1534.426	1829.311	1748.001	1808.032	1749.643	1810.516	1755.467	1772.158	1728.629	1586.498				
		17.6796	17.7586	17.7122	17.7448	17.6918	17.75	17.75	17.7136	17.782	17.7804				
		1377.851	1609.746	1531.219	1624.788	1731.056	1700.909	1788.011	1760.633	1641.547	1455.058				
		17.8396	17.9306	17.9018	17.8952	17.8518	17.91	17.91	17.8632	17.9388	17.9404				
		1.642	2.948	1.914	2.137	2.238	3.026	1.918	3.064	3.497	3.404				
		18.0412	18.0794	18.0522	18.0552	18.0022	18.0612	18.0612	18.0136	18.0892	18.0908				
		8.965	7.675	4.835	4.92	4.597	15.965	11.559	6.992	10.31	12.354				
		18.19	18.2298	18.213	18.216	18.2326	18.2204	18.2468	18.2272	18.2396	18.2508				
		13.248	11.665	19.305	13.063	17.523	16.191	13.139	5.799	11.46	8.274				
		18.35	18.389	18.3626	18.3664	18.383	18.3804	18.4004	18.3736	18.3996	18.4108				
		9.694	10.306	7.95	15.937	14.963	16.638	7.765	8.511	15.076	13.478				
		
